Caso,Tamaño,Tiempo
1000_aleatorio,1000,0.21997928619384766
100_aleatorio,100,0.0012960433959960938
150_aleatorio,150,0.0028786659240722656
200_aleatorio,200,0.009645462036132812
250_aleatorio,250,0.008447408676147461
300_aleatorio,300,0.015192508697509766
350_aleatorio,350,0.021932601928710938
400_aleatorio,400,0.030672311782836914
450_aleatorio,450,0.03850579261779785
500_aleatorio,500,0.04694700241088867
50_aleatorio,50,0.0004029273986816406
550_aleatorio,550,0.056725502014160156
600_aleatorio,600,0.07192111015319824
650_aleatorio,650,0.08222460746765137
700_aleatorio,700,0.09373903274536133
750_aleatorio,750,0.10784316062927246
800_aleatorio,800,0.12254595756530762
850_aleatorio,850,0.14944148063659668
900_aleatorio,900,0.16047024726867676
950_aleatorio,950,0.1876218318939209
